	place	material	descriptor	emotion	color	smell	geography	sound
brewpub	1	0	0	0	0	0	0	0
garden	1	0	0	0	0	0	0	0
conservatory	1	0	0	0	0	0	0	0
facility	1	0	0	0	0	0	0	0
warehouse	1	0	0	0	0	0	0	0
tenement	1	0	0	0	0	0	0	0
asylum	1	0	0	0	0	0	0	0
court	1	0	0	0	0	0	0	0
beauty salon	1	0	0	0	0	0	0	0
bookstore	1	0	0	0	0	0	0	0
bowling alley	1	0	0	0	0	0	0	0
bus station	1	0	0	0	0	0	0	0
train station	1	0	0	0	0	0	0	0
parking garage	1	0	0	0	0	0	0	0
galaxy	1	0	0	0	0	0	0	0
universe	1	0	0	0	0	0	0	0
dimension	1	0	0	0	0	0	0	0
cafe	1	0	0	0	0	0	0	0
campground	1	0	0	0	0	0	0	0
casino	1	0	0	0	0	0	0	0
cemetary	1	0	0	0	0	0	0	0
tomb	1	0	0	0	0	0	0	0
pyramid	1	0	0	0	0	0	0	0
clothing store	1	0	0	0	0	0	0	0
convenience store	1	0	0	0	0	0	0	0
pharmacy	1	0	0	0	0	0	0	0
theater	1	0	0	0	0	0	0	0
museum	1	0	0	0	0	0	0	0
library	1	0	0	0	0	0	0	0
office	1	0	0	0	0	0	0	0
school	1	0	0	0	0	0	0	0
college	1	0	0	0	0	0	0	0
university	1	0	0	0	0	0	0	0
grocery store	1	0	0	0	0	0	0	0
gym	1	0	0	0	0	0	0	0
hardware store	1	0	0	0	0	0	0	0
zoo	1	0	0	0	0	0	0	0
embassy	1	0	0	0	0	0	0	0
spaceship	1	0	0	0	0	0	0	0
nightclub	1	0	0	0	0	0	0	0
hotel	1	0	0	0	0	0	0	0
motel	1	0	0	0	0	0	0	0
post office	1	0	0	0	0	0	0	0
neighborhood	1	0	0	0	0	0	0	0
nation	1	0	0	0	0	0	0	0
virtual world	1	0	0	0	0	0	0	0
underground society	1	0	0	0	0	0	0	0
basement	1	0	0	0	0	0	0	0
island	1	0	0	0	0	0	0	0
utopia	1	0	0	0	0	0	0	0
dystopia	1	0	0	0	0	0	0	0
prison	1	0	0	0	0	0	0	0
moon	1	0	0	0	0	0	0	0
village	1	0	0	0	0	0	0	0
mall	1	0	0	0	0	0	0	0
golf course	1	0	0	0	0	0	0	0
beach	1	0	0	0	0	0	0	0
ship	1	0	0	0	0	0	0	0
space station	1	0	0	0	0	0	0	0
outpost	1	0	0	0	0	0	0	0
manor	1	0	0	0	0	0	0	0
estate	1	0	0	0	0	0	0	0
mansion	1	0	0	0	0	0	0	0
landscape	1	0	0	0	0	0	0	0
cave	1	0	0	0	0	0	0	0
duchy	1	0	0	0	0	0	0	0
Dyson sphere	1	0	0	0	0	0	0	0
woodland	1	0	0	0	0	0	0	0
grove	1	0	0	0	0	0	0	0
park	1	0	0	0	0	0	0	0
terrarium	1	0	0	0	0	0	0	0
cavern	1	0	0	0	0	0	0	0
hamlet	1	0	0	0	0	0	0	0
continent	1	0	0	0	0	0	0	0
grotto	1	0	0	0	0	0	0	0
keep	1	0	0	0	0	0	0	0
chamber	1	0	0	0	0	0	0	0
airship	1	0	0	0	0	0	0	0
apartment	1	0	0	0	0	0	0	0
pool hall	1	0	0	0	0	0	0	0
sewer	1	0	0	0	0	0	0	0
slum	1	0	0	0	0	0	0	0
shantytown	1	0	0	0	0	0	0	0
aquarium	1	0	0	0	0	0	0	0
coral reef	1	0	0	0	0	0	0	0
trench	1	0	0	0	0	0	0	0
alley	1	0	0	0	0	0	0	0
trading post	1	0	0	0	0	0	0	0
circus	1	0	0	0	0	0	0	0
valley	1	0	0	0	0	0	0	0
river	1	0	0	0	0	0	0	0
ocean	1	0	0	0	0	0	0	0
lake	1	0	0	0	0	0	0	0
pond	1	0	0	0	0	0	0	0
community	1	0	0	0	0	0	0	0
highway	1	0	0	0	0	0	0	0
bridge	1	0	0	0	0	0	0	0
hill	1	0	0	0	0	0	0	0
waterfall	1	0	0	0	0	0	0	0
chateau	1	0	0	0	0	0	0	0
citadel	1	0	0	0	0	0	0	0
fort	1	0	0	0	0	0	0	0
cathedral	1	0	0	0	0	0	0	0
dock	1	0	0	0	0	0	0	0
palace	1	0	0	0	0	0	0	0
art gallery	1	0	0	0	0	0	0	0
satellite	1	0	0	0	0	0	0	0
asteroid	1	0	0	0	0	0	0	0
universe	1	0	0	0	0	0	0	0
archipelago	1	0	0	0	0	0	0	0
room	1	0	0	0	0	0	0	0
ghost town	1	0	0	0	0	0	0	0
hamlet	1	0	0	0	0	0	0	0
auditorium	1	0	0	0	0	0	0	0
port	1	0	0	0	0	0	0	0
crossroads	1	0	0	0	0	0	0	0
home	1	0	0	0	0	0	0	0
condo	1	0	0	0	0	0	0	0
district	1	0	0	0	0	0	0	0
suburb	1	0	0	0	0	0	0	0
crossroads	1	0	0	0	0	0	0	0
collective	1	0	0	0	0	0	0	0
borough	1	0	0	0	0	0	0	0
township	1	0	0	0	0	0	0	0
hole	1	0	0	0	0	0	0	0
nook	1	0	0	0	0	0	0	0
abode	1	0	0	0	0	0	0	0
dwelling	1	0	0	0	0	0	0	0
point	1	0	0	0	0	0	0	0
property	1	0	0	0	0	0	0	0
venue	1	0	0	0	0	0	0	0
hamlet	1	0	0	0	0	0	0	0
countryside	1	0	0	0	0	0	0	0
parish	1	0	0	0	0	0	0	0
sanctuary	1	0	0	0	0	0	0	0
shrine	1	0	0	0	0	0	0	0
star system	1	0	0	0	0	0	0	0
nebula	1	0	0	0	0	0	0	0
corporation	1	0	0	0	0	0	0	0
business	1	0	0	0	0	0	0	0
megacorp	1	0	0	0	0	0	0	0
subway system	1	0	0	0	0	0	0	0
bunker	1	0	0	0	0	0	0	0
laboratory	1	0	0	0	0	0	0	0
workshop	1	0	0	0	0	0	0	0
college	1	0	0	0	0	0	0	0
boarding school	1	0	0	0	0	0	0	0
manor	1	0	0	0	0	0	0	0
chateau	1	0	0	0	0	0	0	0
graveyard	1	0	0	0	0	0	0	0
junkyard	1	0	0	0	0	0	0	0
plantation	1	0	0	0	0	0	0	0
condo	1	0	0	0	0	0	0	0
timeshare	1	0	0	0	0	0	0	0
stable	1	0	0	0	0	0	0	0
barnyard	1	0	0	0	0	0	0	0
dormitory	1	0	0	0	0	0	0	0
plaza	1	0	0	0	0	0	0	0
portal	1	0	0	0	0	0	0	0
golf course	1	0	0	0	0	0	0	0
police station	1	0	0	0	0	0	0	0
civic center	1	0	0	0	0	0	0	0
ruins	1	0	0	0	0	0	0	0
shipwreck	1	0	0	0	0	0	0	0
battleground	1	0	0	0	0	0	0	0
waypost	1	0	0	0	0	0	0	0
memorial	1	0	0	0	0	0	0	0
junk heap	1	0	0	0	0	0	0	0
locale	1	0	0	0	0	0	0	0
sector	1	0	0	0	0	0	0	0
tundra	1	0	0	0	0	0	0	0
moor	1	0	0	0	0	0	0	0
grange hall	1	0	0	0	0	0	0	0
grove	1	0	0	0	0	0	0	0
orchard	1	0	0	0	0	0	0	0
camp	1	0	0	0	0	0	0	0
barracks	1	0	0	0	0	0	0	0
aircraft	1	0	0	0	0	0	0	0
train	1	0	0	0	0	0	0	0
yacht	1	0	0	0	0	0	0	0
cruise ship	1	0	0	0	0	0	0	0
houseboat	1	0	0	0	0	0	0	0
truck	1	0	0	0	0	0	0	0
battleship	1	0	0	0	0	0	0	0
party	1	0	0	0	0	0	0	0
celebration	1	0	0	0	0	0	0	0
amusement park	1	0	0	0	0	0	0	0
carnival	1	0	0	0	0	0	0	0
gala	1	0	0	0	0	0	0	0
dinner party	1	0	0	0	0	0	0	0
luncheon	1	0	0	0	0	0	0	0
prom	1	0	0	0	0	0	0	0
tea party	1	0	0	0	0	0	0	0
Happening	1	0	0	0	0	0	0	0
banquet	1	0	0	0	0	0	0	0
ski lodge	1	0	0	0	0	0	0	0
ski slope	1	0	0	0	0	0	0	0
waterfront	1	0	0	0	0	0	0	0
seaside	1	0	0	0	0	0	0	0
pier	1	0	0	0	0	0	0	0
harbor	1	0	0	0	0	0	0	0
workmen's village	1	0	0	0	0	0	0	0
boomtown	1	0	0	0	0	0	0	0
walled city	1	0	0	0	0	0	0	0
farming village	1	0	0	0	0	0	0	0
star fleet	1	0	0	0	0	0	0	0
trailer park	1	0	0	0	0	0	0	0
arcology	1	0	0	0	0	0	0	0
kibbutz	1	0	0	0	0	0	0	0
domed city	1	0	0	0	0	0	0	0
fishing village	1	0	0	0	0	0	0	0
spaceport	1	0	0	0	0	0	0	0
planetoid	1	0	0	0	0	0	0	0
deep space station	1	0	0	0	0	0	0	0
trans-dimensional area	1	0	0	0	0	0	0	0
alternate history	1	0	0	0	0	0	0	0
shoe store	1	0	0	0	0	0	0	0
candy store	1	0	0	0	0	0	0	0
sawmill	1	0	0	0	0	0	0	0
chemical plant	1	0	0	0	0	0	0	0
homestead	1	0	0	0	0	0	0	0
cliffside	1	0	0	0	0	0	0	0
overlook	1	0	0	0	0	0	0	0
truck stop	1	0	0	0	0	0	0	0
art school	1	0	0	0	0	0	0	0
culinary school	1	0	0	0	0	0	0	0
institute	1	0	0	0	0	0	0	0
science museum	1	0	0	0	0	0	0	0
history museum	1	0	0	0	0	0	0	0
community college	1	0	0	0	0	0	0	0
tree	1	0	0	0	0	0	0	0
treehouse	1	0	0	0	0	0	0	0
liquor store	1	0	0	0	0	0	0	0
boutique	1	0	0	0	0	0	0	0
nursery	1	0	0	0	0	0	0	0
newsstand	1	0	0	0	0	0	0	0
supermarket	1	0	0	0	0	0	0	0
corner store	1	0	0	0	0	0	0	0
chemistry lab	1	0	0	0	0	0	0	0
greenhouse	1	0	0	0	0	0	0	0
haberdashery	1	0	0	0	0	0	0	0
party store	1	0	0	0	0	0	0	0
tobacconist	1	0	0	0	0	0	0	0
birdhouse	1	0	0	0	0	0	0	0
purgatory	1	0	0	0	0	0	0	0
roadside attraction	1	0	0	0	0	0	0	0
government office	1	0	0	0	0	0	0	0
record store	1	0	0	0	0	0	0	0
flea market	1	0	0	0	0	0	0	0
headquarters	1	0	0	0	0	0	0	0
den of iniquity	1	0	0	0	0	0	0	0
steel	0	1	0	0	0	0	0	0
glass	0	1	0	0	0	0	0	0
concrete	0	1	0	0	0	0	0	0
brick	0	1	0	0	0	0	0	0
wood	0	1	0	0	0	0	0	0
brass	0	1	0	0	0	0	0	0
bone	0	1	0	0	0	0	0	0
marble	0	1	0	0	0	0	0	0
chalk	0	1	0	0	0	0	0	0
energy	0	1	0	0	0	0	0	0
magic	0	1	0	0	0	0	0	0
flesh	0	1	0	0	0	0	0	0
copper	0	1	0	0	0	0	0	0
aluminum	0	1	0	0	0	0	0	0
silver	0	1	0	0	0	0	0	0
gold	0	1	0	0	0	0	0	0
cloth	0	1	0	0	0	0	0	0
silk	0	1	0	0	0	0	0	0
paper	0	1	0	0	0	0	0	0
bamboo	0	1	0	0	0	0	0	0
quartz	0	1	0	0	0	0	0	0
crystal	0	1	0	0	0	0	0	0
diamond	0	1	0	0	0	0	0	0
carbon	0	1	0	0	0	0	0	0
carbon fiber	0	1	0	0	0	0	0	0
thorium	0	1	0	0	0	0	0	0
tin foil	0	1	0	0	0	0	0	0
mud	0	1	0	0	0	0	0	0
compressed earth	0	1	0	0	0	0	0	0
insulation	0	1	0	0	0	0	0	0
plaster	0	1	0	0	0	0	0	0
stucco	0	1	0	0	0	0	0	0
carpet	0	1	0	0	0	0	0	0
adobe	0	1	0	0	0	0	0	0
terra cotta	0	1	0	0	0	0	0	0
stone	0	1	0	0	0	0	0	0
rebar	0	1	0	0	0	0	0	0
wire	0	1	0	0	0	0	0	0
rope	0	1	0	0	0	0	0	0
plywood	0	1	0	0	0	0	0	0
chromium	0	1	0	0	0	0	0	0
PVC	0	1	0	0	0	0	0	0
parrafin wax	0	1	0	0	0	0	0	0
straw	0	1	0	0	0	0	0	0
silica	0	1	0	0	0	0	0	0
fur	0	1	0	0	0	0	0	0
feathers	0	1	0	0	0	0	0	0
scales	0	1	0	0	0	0	0	0
cast iron	0	1	0	0	0	0	0	0
lace	0	1	0	0	0	0	0	0
burlap	0	1	0	0	0	0	0	0
hemp	0	1	0	0	0	0	0	0
magnesium	0	1	0	0	0	0	0	0
titanium	0	1	0	0	0	0	0	0
wrought iron	0	1	0	0	0	0	0	0
nickel	0	1	0	0	0	0	0	0
nickel silver	0	1	0	0	0	0	0	0
teak	0	1	0	0	0	0	0	0
birch	0	1	0	0	0	0	0	0
balsa	0	1	0	0	0	0	0	0
basalt	0	1	0	0	0	0	0	0
granite	0	1	0	0	0	0	0	0
pumice	0	1	0	0	0	0	0	0
limestone	0	1	0	0	0	0	0	0
sandstone	0	1	0	0	0	0	0	0
slate	0	1	0	0	0	0	0	0
leather	0	1	0	0	0	0	0	0
horn	0	1	0	0	0	0	0	0
rattan	0	1	0	0	0	0	0	0
wicker	0	1	0	0	0	0	0	0
cork	0	1	0	0	0	0	0	0
tungsten	0	1	0	0	0	0	0	0
ebony	0	1	0	0	0	0	0	0
fruit	0	1	0	0	0	0	0	0
Styrofoam	0	1	0	0	0	0	0	0
lead	0	1	0	0	0	0	0	0
charcoal	0	1	0	0	0	0	0	0
vines	0	1	0	0	0	0	0	0
ceramic	0	1	0	0	0	0	0	0
plastic	0	1	0	0	0	0	0	0
rubber	0	1	0	0	0	0	0	0
foam	0	1	0	0	0	0	0	0
zinc	0	1	0	0	0	0	0	0
tin	0	1	0	0	0	0	0	0
ivory	0	1	0	0	0	0	0	0
yttrium	0	1	0	0	0	0	0	0
cardboard	0	1	0	0	0	0	0	0
ice	0	1	0	0	0	0	0	0
rubies	0	1	0	0	0	0	0	0
emeralds	0	1	0	0	0	0	0	0
tulle	0	1	0	0	0	0	0	0
salt	0	1	0	0	0	0	0	0
magnesium	0	1	0	0	0	0	0	0
gears	0	1	0	0	0	0	0	0
pear	0	1	0	0	0	0	0	0
oyster shell	0	1	0	0	0	0	0	0
grass	0	1	0	0	0	0	0	0
seaweed	0	1	0	0	0	0	0	0
peat	0	1	0	0	0	0	0	0
translucent concrete	0	1	0	0	0	0	0	0
cerrosafe	0	1	0	0	0	0	0	0
nichrome	0	1	0	0	0	0	0	0
electrum	0	1	0	0	0	0	0	0
ammunition	0	1	0	0	0	0	0	0
glitter	0	1	0	0	0	0	0	0
silicone	0	1	0	0	0	0	0	0
pig iron	0	1	0	0	0	0	0	0
plutonium	0	1	0	0	0	0	0	0
discarded machines	0	1	0	0	0	0	0	0
zirconium	0	1	0	0	0	0	0	0
nanobots	0	1	0	0	0	0	0	0
mithril	0	1	0	0	0	0	0	0
adamantium	0	1	0	0	0	0	0	0
orichalcum	0	1	0	0	0	0	0	0
vanadium	0	1	0	0	0	0	0	0
psychic energy	0	1	0	0	0	0	0	0
dreams	0	1	0	0	0	0	0	0
pure evil	0	1	0	0	0	0	0	0
tuff	0	1	0	0	0	0	0	0
andesite	0	1	0	0	0	0	0	0
tridymite	0	1	0	0	0	0	0	0
opal	0	1	0	0	0	0	0	0
plastic bottles	0	1	0	0	0	0	0	0
plastic bags	0	1	0	0	0	0	0	0
glass bottles	0	1	0	0	0	0	0	0
cigarettes	0	1	0	0	0	0	0	0
old tires	0	1	0	0	0	0	0	0
coral	0	1	0	0	0	0	0	0
sponge	0	1	0	0	0	0	0	0
sharkskin	0	1	0	0	0	0	0	0
fruit	0	1	0	0	0	0	0	0
cedar	0	1	0	0	0	0	0	0
gristle	0	1	0	0	0	0	0	0
dark matter	0	1	0	0	0	0	0	0
marble	0	1	0	0	0	0	0	0
stained glass	0	1	0	0	0	0	0	0
junk mail	0	1	0	0	0	0	0	0
algae	0	1	0	0	0	0	0	0
bread	0	1	0	0	0	0	0	0
cheese	0	1	0	0	0	0	0	0
latex	0	1	0	0	0	0	0	0
brass	0	1	0	0	0	0	0	0
egg	0	1	0	0	0	0	0	0
paper money	0	1	0	0	0	0	0	0
information	0	1	0	0	0	0	0	0
artificial bone	0	1	0	0	0	0	0	0
butter	0	1	0	0	0	0	0	0
yak hair	0	1	0	0	0	0	0	0
artificial silk	0	1	0	0	0	0	0	0
sulfur	0	1	0	0	0	0	0	0
graphite	0	1	0	0	0	0	0	0
aluminum foil	0	1	0	0	0	0	0	0
string	0	1	0	0	0	0	0	0
actinides	0	1	0	0	0	0	0	0
coinage	0	1	0	0	0	0	0	0
tree bark	0	1	0	0	0	0	0	0
paper ballots	0	1	0	0	0	0	0	0
pine needles	0	1	0	0	0	0	0	0
name tags	0	1	0	0	0	0	0	0
evidence	0	1	0	0	0	0	0	0
dust	0	1	0	0	0	0	0	0
metal springs	0	1	0	0	0	0	0	0
eggshell	0	1	0	0	0	0	0	0
lard	0	1	0	0	0	0	0	0
glitchy	0	0	1	0	0	0	0	0
Mediterranean	0	0	1	0	0	0	0	0
Moroccan	0	0	1	0	0	0	0	0
Indian	0	0	1	0	0	0	0	0
Zulu	0	0	1	0	0	0	0	0
frantic	0	0	1	0	0	0	0	0
humid	0	0	1	0	0	0	0	0
highly-organized	0	0	1	0	0	0	0	0
trash-strewn	0	0	1	0	0	0	0	0
misty	0	0	1	0	0	0	0	0
dusty	0	0	1	0	0	0	0	0
tiny	0	0	1	0	0	0	0	0
utopian	0	0	1	0	0	0	0	0
dystopian	0	0	1	0	0	0	0	0
near-future	0	0	1	0	0	0	0	0
Y2K-era	0	0	1	0	0	0	0	0
1990's	0	0	1	0	0	0	0	0
1980's	0	0	1	0	0	0	0	0
1970's	0	0	1	0	0	0	0	0
1960's	0	0	1	0	0	0	0	0
1950's	0	0	1	0	0	0	0	0
1940's	0	0	1	0	0	0	0	0
1930's	0	0	1	0	0	0	0	0
1920's	0	0	1	0	0	0	0	0
turn-of-the-century	0	0	1	0	0	0	0	0
19th century	0	0	1	0	0	0	0	0
18th century	0	0	1	0	0	0	0	0
17th century	0	0	1	0	0	0	0	0
16th century	0	0	1	0	0	0	0	0
15th century	0	0	1	0	0	0	0	0
high fantasy	0	0	1	0	0	0	0	0
low fantasy	0	0	1	0	0	0	0	0
wintry	0	0	1	0	0	0	0	0
summery	0	0	1	0	0	0	0	0
autumnal	0	0	1	0	0	0	0	0
wide	0	0	1	0	0	0	0	0
tasteless	0	0	1	0	0	0	0	0
tawdry	0	0	1	0	0	0	0	0
smelly	0	0	1	0	0	0	0	0
flooded	0	0	1	0	0	0	0	0
auspicious	0	0	1	0	0	0	0	0
cursed	0	0	1	0	0	0	0	0
bawdy	0	0	1	0	0	0	0	0
clammy	0	0	1	0	0	0	0	0
fragile	0	0	1	0	0	0	0	0
gaudy	0	0	1	0	0	0	0	0
humdrum	0	0	1	0	0	0	0	0
hypnotic	0	0	1	0	0	0	0	0
lame	0	0	1	0	0	0	0	0
majestic	0	0	1	0	0	0	0	0
nondescript	0	0	1	0	0	0	0	0
oddly-shaped	0	0	1	0	0	0	0	0
sophisticated	0	0	1	0	0	0	0	0
sweet	0	0	1	0	0	0	0	0
voodoo	0	0	1	0	0	0	0	0
tiki	0	0	1	0	0	0	0	0
shadowy	0	0	1	0	0	0	0	0
edible	0	0	1	0	0	0	0	0
fantastique	0	0	1	0	0	0	0	0
shenmo	0	0	1	0	0	0	0	0
romantic	0	0	1	0	0	0	0	0
barbaric	0	0	1	0	0	0	0	0
tragic	0	0	1	0	0	0	0	0
synchronized	0	0	1	0	0	0	0	0
politically-tense	0	0	1	0	0	0	0	0
satirical	0	0	1	0	0	0	0	0
wuxia	0	0	1	0	0	0	0	0
Orwellian	0	0	1	0	0	0	0	0
floating	0	0	1	0	0	0	0	0
draconian	0	0	1	0	0	0	0	0
merciless	0	0	1	0	0	0	0	0
comic	0	0	1	0	0	0	0	0
apocalyptic	0	0	1	0	0	0	0	0
musical	0	0	1	0	0	0	0	0
folkloric	0	0	1	0	0	0	0	0
ironic	0	0	1	0	0	0	0	0
clearly fictional	0	0	1	0	0	0	0	0
misunderstood	0	0	1	0	0	0	0	0
bright	0	0	1	0	0	0	0	0
dark	0	0	1	0	0	0	0	0
fuzzy	0	0	1	0	0	0	0	0
ancient	0	0	1	0	0	0	0	0
dull	0	0	1	0	0	0	0	0
bustling	0	0	1	0	0	0	0	0
charming	0	0	1	0	0	0	0	0
quaint	0	0	1	0	0	0	0	0
historic	0	0	1	0	0	0	0	0
compact	0	0	1	0	0	0	0	0
culturally diverse	0	0	1	0	0	0	0	0
seedy	0	0	1	0	0	0	0	0
corrupt	0	0	1	0	0	0	0	0
expressionistic	0	0	1	0	0	0	0	0
stereotypical	0	0	1	0	0	0	0	0
smoky	0	0	1	0	0	0	0	0
overdramatic	0	0	1	0	0	0	0	0
recently-renovated	0	0	1	0	0	0	0	0
reconstructed	0	0	1	0	0	0	0	0
faded	0	0	1	0	0	0	0	0
shabby	0	0	1	0	0	0	0	0
inelegant	0	0	1	0	0	0	0	0
elegant	0	0	1	0	0	0	0	0
unrefined	0	0	1	0	0	0	0	0
vulgar	0	0	1	0	0	0	0	0
crumbling	0	0	1	0	0	0	0	0
idyllic	0	0	1	0	0	0	0	0
supernatural	0	0	1	0	0	0	0	0
shabby chic	0	0	1	0	0	0	0	0
dilapidated	0	0	1	0	0	0	0	0
tacky	0	0	1	0	0	0	0	0
delicate	0	0	1	0	0	0	0	0
glittery	0	0	1	0	0	0	0	0
Elvish	0	0	1	0	0	0	0	0
Dwarven	0	0	1	0	0	0	0	0
spacious	0	0	1	0	0	0	0	0
sanguine	0	0	1	0	0	0	0	0
grisly	0	0	1	0	0	0	0	0
pleasing	0	0	1	0	0	0	0	0
delightful	0	0	1	0	0	0	0	0
merry	0	0	1	0	0	0	0	0
jovial	0	0	1	0	0	0	0	0
crowded	0	0	1	0	0	0	0	0
vast	0	0	1	0	0	0	0	0
vibrant	0	0	1	0	0	0	0	0
contaminated	0	0	1	0	0	0	0	0
toxic	0	0	1	0	0	0	0	0
deserted	0	0	1	0	0	0	0	0
graffiti-covered	0	0	1	0	0	0	0	0
melting	0	0	1	0	0	0	0	0
hazardous	0	0	1	0	0	0	0	0
anachronistic	0	0	1	0	0	0	0	0
peaceful	0	0	1	0	0	0	0	0
rusty	0	0	1	0	0	0	0	0
miniature	0	0	1	0	0	0	0	0
quiet	0	0	1	0	0	0	0	0
Egyptian	0	0	1	0	0	0	0	0
Victorian	0	0	1	0	0	0	0	0
Edwardian	0	0	1	0	0	0	0	0
Soviet	0	0	1	0	0	0	0	0
glitched	0	0	1	0	0	0	0	0
medieval	0	0	1	0	0	0	0	0
Renaissance	0	0	1	0	0	0	0	0
Caribbean	0	0	1	0	0	0	0	0
Norse	0	0	1	0	0	0	0	0
Persian	0	0	1	0	0	0	0	0
Mesoamerican	0	0	1	0	0	0	0	0
Japanese	0	0	1	0	0	0	0	0
Chinese	0	0	1	0	0	0	0	0
Korean	0	0	1	0	0	0	0	0
Cambodian	0	0	1	0	0	0	0	0
Australian	0	0	1	0	0	0	0	0
Swiss	0	0	1	0	0	0	0	0
French	0	0	1	0	0	0	0	0
Spanish	0	0	1	0	0	0	0	0
Daliesque	0	0	1	0	0	0	0	0
Kafkaesque	0	0	1	0	0	0	0	0
cartoonish	0	0	1	0	0	0	0	0
anachronistic	0	0	1	0	0	0	0	0
cyberpunk	0	0	1	0	0	0	0	0
steampunk	0	0	1	0	0	0	0	0
seapunk	0	0	1	0	0	0	0	0
abandoned	0	0	1	0	0	0	0	0
biopunk	0	0	1	0	0	0	0	0
nanopunk	0	0	1	0	0	0	0	0
post-cyberpunk	0	0	1	0	0	0	0	0
dieselpunk	0	0	1	0	0	0	0	0
elfpunk	0	0	1	0	0	0	0	0
mythpunk	0	0	1	0	0	0	0	0
dreampunk	0	0	1	0	0	0	0	0
decopunk	0	0	1	0	0	0	0	0
atompunk	0	0	1	0	0	0	0	0
cyberprep	0	0	1	0	0	0	0	0
solarpunk	0	0	1	0	0	0	0	0
huge	0	0	1	0	0	0	0	0
frontier	0	0	1	0	0	0	0	0
painterly	0	0	1	0	0	0	0	0
grotesque	0	0	1	0	0	0	0	0
brutalist	0	0	1	0	0	0	0	0
magical realist	0	0	1	0	0	0	0	0
surreal	0	0	1	0	0	0	0	0
pixelated	0	0	1	0	0	0	0	0
shocking	0	0	1	0	0	0	0	0
heavenly	0	0	1	0	0	0	0	0
underwater	0	0	1	0	0	0	0	0
gritty	0	0	1	0	0	0	0	0
disintegrating	0	0	1	0	0	0	0	0
smog-choked	0	0	1	0	0	0	0	0
foggy	0	0	1	0	0	0	0	0
sleepy	0	0	1	0	0	0	0	0
New England	0	0	1	0	0	0	0	0
foreboding	0	0	1	0	0	0	0	0
cute	0	0	1	0	0	0	0	0
laconic	0	0	1	0	0	0	0	0
mystical	0	0	1	0	0	0	0	0
timeless	0	0	1	0	0	0	0	0
forbidden	0	0	1	0	0	0	0	0
sprawling	0	0	1	0	0	0	0	0
palatial	0	0	1	0	0	0	0	0
stalwart	0	0	1	0	0	0	0	0
rainy	0	0	1	0	0	0	0	0
mysterious	0	0	1	0	0	0	0	0
dreary	0	0	1	0	0	0	0	0
offensive	0	0	1	0	0	0	0	0
simplified	0	0	1	0	0	0	0	0
family-friendly	0	0	1	0	0	0	0	0
